"Product","Customer","Qtr 1","Qtr 2","Qtr 3","Qtr 4"
"Alice Mutton","ANTON","","$702.00","",""
"Alice Mutton","BERGS","$312.00","","",""
"Alice Mutton","BOLID","","","","$1,170.00"
"Alice Mutton","BOTTM","$1,170.00","","",""
"Alice Mutton","ERNSH","$1,123.20","","","$2,607.15"
"Alice Mutton","GODOS","","$280.80","",""
"Alice Mutton","HUNGC","$62.40","","",""
"Alice Mutton","PICCO","","$1,560.00","$936.00",""
"Alice Mutton","RATTC","","$592.80","",""
"Alice Mutton","REGGC","","","","$741.00"
"Alice Mutton","SAVEA","","","$3,900.00","$789.75"
"Alice Mutton","SEVES","","$877.50","",""
"Alice Mutton","WHITC","","","","$780.00"
"Aniseed Syrup","ALFKI","","","","$60.00"
"Aniseed Syrup","BOTTM","","","","$200.00"
"Aniseed Syrup","ERNSH","","","","$180.00"
"Aniseed Syrup","LINOD","$544.00","","",""
"Aniseed Syrup","QUICK","","$600.00","",""
"Aniseed Syrup","VAFFE","","","$140.00",""
"Boston Crab Meat","ANTON","","$165.60","",""
"Boston Crab Meat","BERGS","","$920.00","",""
"Boston Crab Meat","BONAP","","$248.40","$524.40",""
"Boston Crab Meat","BOTTM","$551.25","","",""
"Boston Crab Meat","BSBEV","$147.00","","",""
"Boston Crab Meat","FRANS","","","","$18.40"
"Boston Crab Meat","HILAA","","$92.00","$1,104.00",""
"Boston Crab Meat","LAZYK","$147.00","","",""
"Boston Crab Meat","LEHMS","","$515.20","",""
"Boston Crab Meat","MAGAA","","","","$55.20"
"Boston Crab Meat","OTTIK","","","$368.00",""
"Boston Crab Meat","PERIC","$308.70","","",""
"Boston Crab Meat","QUEEN","$26.46","","$419.52","$110.40"
"Boston Crab Meat","QUICK","","","$1,223.60",""
"Boston Crab Meat","RANCH","$294.00","","",""
"Boston Crab Meat","SAVEA","","","$772.80","$736.00"
"Boston Crab Meat","TRAIH","","$36.80","",""
"Boston Crab Meat","VAFFE","$294.00","","","$736.00"
"Camembert Pierrot","ANATR","","","$340.00",""
"Camembert Pierrot","AROUT","","","","$510.00"
"Camembert Pierrot","BERGS","","","$680.00",""
"Camembert Pierrot","BOTTM","","","","$1,700.00"
"Camembert Pierrot","CHOPS","","$323.00","",""
"Camembert Pierrot","FAMIA","","$346.80","",""
"Camembert Pierrot","FRANK","","","$612.00",""
"Camembert Pierrot","FURIB","$544.00","","",""
"Camembert Pierrot","GOURL","","","","$340.00"
"Camembert Pierrot","LEHMS","","$892.50","",""
"Camembert Pierrot","MEREP","","","$2,261.00",""
"Camembert Pierrot","OTTIK","","","$1,020.00",""
"Camembert Pierrot","QUEEN","","","","$510.00"
"Camembert Pierrot","QUICK","","$2,427.60","$1,776.50",""
"Camembert Pierrot","RICAR","$1,088.00","","",""
"Camembert Pierrot","RICSU","$1,550.40","","",""
"Camembert Pierrot","SAVEA","","","$2,380.00",""
"Camembert Pierrot","WARTH","","$693.60","",""
"Camembert Pierrot","WOLZA","","","$510.00",""
"Carnarvon Tigers","BLONP","","$956.25","",""
"Carnarvon Tigers","BONAP","$1,500.00","","",""
"Carnarvon Tigers","FOLIG","","","$3,125.00","$1,875.00"
"Carnarvon Tigers","HANAR","","","$1,250.00",""
"Carnarvon Tigers","HUNGO","","$1,406.25","",""
"Carnarvon Tigers","LETSS","","","","$562.50"
"Carnarvon Tigers","QUICK","","","$2,000.00","$1,500.00"
"Carnarvon Tigers","SANTG","","","$500.00",""
"Carnarvon Tigers","SPLIR","","","","$1,050.00"
"Carnarvon Tigers","WELLI","","","$225.00",""
"Chai","BERGS","","","","$472.50"
"Chai","BLONP","","","$450.00",""
"Chai","DUMON","","","$54.00",""
"Chai","HUNGO","","","$202.50",""
"Chai","LAMAI","$345.60","","",""
"Chai","LEHMS","","$576.00","",""
"Chai","LINOD","","","","$900.00"
"Chai","MEREP","","","$360.00",""
"Chai","NORTS","","","","$144.00"
"Chai","PRINI","$216.00","","",""
"Chai","QUEEN","$144.00","","",""
"Chai","QUICK","","","","$540.00"
"Chai","SAVEA","","","","$72.00"
"Chai","TORTU","","$180.00","",""
"Chai","WARTH","","$122.40","",""
"Chai","WOLZA","","","$108.00",""
"Chang","AROUT","","","","$228.00"
"Chang","CONSH","$152.00","","",""
"Chang","FOLKO","","","","$95.00"
"Chang","HILAA","","","$950.00",""
"Chang","LAMAI","","","","$270.75"
"Chang","LINOD","$273.60","","",""
"Chang","OTTIK","","","","$760.00"
"Chang","QUICK","$912.00","","",""
"Chang","RICAR","","","$380.00",""
"Chang","SAVEA","$581.40","","","$484.50"
"Chang","VICTE","","","","$285.00"
"Chang","WANDK","","","$541.50",""
"Chang","WHITC","$516.80","$228.00","",""
"Chang","WOLZA","","","$190.00","$190.00"
"Chartreuse verte","ALFKI","","","$283.50",""
"Chartreuse verte","BERGS","$86.40","","$324.00",""
"Chartreuse verte","BLAUS","","","$90.00",""
"Chartreuse verte","ERNSH","","","","$2,106.00"
"Chartreuse verte","FOLKO","","","","$288.00"
"Chartreuse verte","HUNGO","","","$43.20",""
"Chartreuse verte","MAGAA","","","","$30.60"
"Chartreuse verte","OTTIK","","$180.00","",""
"Chartreuse verte","PRINI","$216.00","","",""
"Chartreuse verte","QUEDE","","","$360.00",""
"Chartreuse verte","TRAIH","","$180.00","",""
"Chartreuse verte","WARTH","$288.00","","",""
"Chef Anton's Cajun Seasoning","BERGS","","","$237.60",""
"Chef Anton's Cajun Seasoning","BONAP","","$935.00","",""
"Chef Anton's Cajun Seasoning","EASTC","","","","$550.00"
"Chef Anton's Cajun Seasoning","FOLKO","","$1,045.00","",""
"Chef Anton's Cajun Seasoning","FURIB","$225.28","","",""
"Chef Anton's Cajun Seasoning","MAGAA","","","$198.00",""
"Chef Anton's Cajun Seasoning","QUEEN","","","","$132.00"
"Chef Anton's Cajun Seasoning","QUICK","","$990.00","",""
"Chef Anton's Cajun Seasoning","TRADH","","","$352.00",""
"Chef Anton's Cajun Seasoning","WARTH","","","$550.00",""
"Chef Anton's Gumbo Mix","MAGAA","","","$288.22",""
"Chef Anton's Gumbo Mix","THEBI","","","","$85.40"
"Chocolade","ANTON","","$162.56","",""
"Chocolade","AROUT","$137.70","","",""
"Chocolade","ERNSH","$606.90","","",""
"Chocolade","FURIB","","","$68.85",""
"Chocolade","QUEEN","","","","$306.00"
"Côte de Blaye","BERGS","","","$3,557.25",""
"Côte de Blaye","GREAL","","","$3,754.87",""
"Côte de Blaye","HANAR","","$948.60","","$1,317.50"
"Côte de Blaye","MEREP","$8,263.36","","",""
"Côte de Blaye","QUICK","","$7,905.00","",""
"Côte de Blaye","RATTC","$6,324.00","","",""
"Côte de Blaye","SIMOB","$10,540.00","","",""
"Côte de Blaye","THEBI","","","","$2,635.00"
"Côte de Blaye","TORTU","","$3,952.50","",""
"Escargots de Bourgogne","FRANK","","","$397.50",""
"Escargots de Bourgogne","HUNGO","","","$519.40",""
"Escargots de Bourgogne","LINOD","","","","$298.13"
"Escargots de Bourgogne","OLDWO","","","$397.50",""
"Escargots de Bourgogne","RICSU","","$265.00","",""
"Escargots de Bourgogne","SAVEA","","","","$119.25"
"Escargots de Bourgogne","WARTH","","","$79.50",""
"Filo Mix","AROUT","","$210.00","","$56.00"
"Filo Mix","BERGS","","","","$175.00"
"Filo Mix","BLONP","$112.00","","",""
"Filo Mix","DUMON","","","$63.00",""
"Filo Mix","FAMIA","","","","$28.00"
